date,timestamp_utc,product,price_eur_per_l,source_url
2026-02-09,2026-02-09T01:40:23+00:00,Neste Futura 95,1.497,https://www.neste.lv/lv/content/degvielas-cenas
2026-02-09,2026-02-09T01:40:23+00:00,Neste Futura 98,1.567,https://www.neste.lv/lv/content/degvielas-cenas
2026-02-09,2026-02-09T01:40:23+00:00,Neste Futura D,1.477,https://www.neste.lv/lv/content/degvielas-cenas
2026-02-09,2026-02-09T01:40:23+00:00,Neste Pro Diesel,1.607,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-05,2026-03-05T16:40:23+00:00,Neste Futura 95,1.617,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-05,2026-03-05T16:40:23+00:00,Neste Futura 98,1.687,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-05,2026-03-05T16:40:23+00:00,Neste Futura D,1.677,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-05,2026-03-05T16:40:23+00:00,Neste Pro Diesel,1.807,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-09,2026-03-09T11:33:23+00:00,Neste Futura 95,1.617,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-09,2026-03-09T11:33:23+00:00,Neste Futura 98,1.687,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-09,2026-03-09T11:33:23+00:00,Neste Futura D,1.797,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-09,2026-03-09T11:33:23+00:00,Neste Pro Diesel,1.927,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-10,2026-03-10T07:49:29+00:00,Neste Futura 95,1.617,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-10,2026-03-10T07:49:29+00:00,Neste Futura 98,1.687,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-10,2026-03-10T07:49:29+00:00,Neste Futura D,1.857,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-10,2026-03-10T07:49:29+00:00,Neste Pro Diesel,1.987,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-11,2026-03-11T10:53:22+00:00,Neste Futura 95,1.637,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-11,2026-03-11T10:53:22+00:00,Neste Futura 98,1.697,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-11,2026-03-11T10:53:22+00:00,Neste Futura D,1.887,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-11,2026-03-11T10:53:22+00:00,Neste Pro Diesel,1.997,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-12,2026-03-12T10:52:34+00:00,Neste Futura 95,1.637,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-12,2026-03-12T10:52:34+00:00,Neste Futura 98,1.697,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-12,2026-03-12T10:52:34+00:00,Neste Futura D,1.887,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-12,2026-03-12T10:52:34+00:00,Neste Pro Diesel,1.997,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-13,2026-03-13T10:49:56+00:00,Neste Futura 95,1.657,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-13,2026-03-13T10:49:56+00:00,Neste Futura 98,1.717,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-13,2026-03-13T10:49:56+00:00,Neste Futura D,1.897,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-13,2026-03-13T10:49:56+00:00,Neste Pro Diesel,1.997,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-16,2026-03-16T11:04:36+00:00,Neste Futura 95,1.677,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-16,2026-03-16T11:04:36+00:00,Neste Futura 98,1.747,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-16,2026-03-16T11:04:36+00:00,Neste Futura D,1.927,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-16,2026-03-16T11:04:36+00:00,Neste Pro Diesel,2.057,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-17,2026-03-17T11:00:05+00:00,Neste Futura 95,1.677,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-17,2026-03-17T11:00:05+00:00,Neste Futura 98,1.747,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-17,2026-03-17T11:00:05+00:00,Neste Futura D,1.927,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-17,2026-03-17T11:00:05+00:00,Neste Pro Diesel,2.057,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-18,2026-03-18T11:00:05+00:00,Neste Futura 95,1.727,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-18,2026-03-18T11:00:05+00:00,Neste Futura 98,1.797,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-18,2026-03-18T11:00:05+00:00,Neste Futura D,1.957,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-18,2026-03-18T11:00:05+00:00,Neste Pro Diesel,2.087,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-19,2026-03-19T10:53:59+00:00,Neste Futura 95,1.727,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-19,2026-03-19T10:53:59+00:00,Neste Futura 98,1.797,https://www.neste.lv/lv/content/degvielas-cenas
2026-03-19,2026-03-19T10:53:59+00:00,Neste Futura D,1.957,https://www.neste.lv/lv/content/degvielas-cenas
